id,project,file,function,func_body,has_mechanism,mechanism_found,notes
131,edgedb,edgedb/edb/edgeql/tracer.py,get_ref_name,"def get_ref_name(self, ref: qlast.BaseObjectRef) -> sn.QualName:
        # We don't actually expect to handle anything other than
        # ObjectRef here.
        assert isinstance(ref, qlast.ObjectRef)

        if not ref.module and ref.name in self.params:
            return self.params[ref.name]

        return resolve_name(
            ref,
            current_module=self.module,
            schema=self.schema,
            objects=self.objects,
            modaliases=self.modaliases,
            local_modules=self.local_modules,
        )",N,,
132,tvm,tvm/tests/python/relay/test_pass_convert_op_layout.py,test_conv_convert_kernel_layout,"def test_conv_convert_kernel_layout():
    """"""Check that convolution kernel layout is correctly transformed.""""""

    def before():
        x = relay.var(""x"", shape=(1, 56, 56, 64))
        weight = relay.var(""weight"", shape=(3, 3, 64, 64))
        y = relay.nn.conv2d(
            x,
            weight,
            channels=64,
            kernel_size=(3, 3),
            padding=(1, 1),
            data_layout=""NHWC"",
            kernel_layout=""HWIO"",
        )
        y = relay.Function(analysis.free_vars(y), y)
        return y

    def expected():
        x = relay.var(""x"", shape=(1, 56, 56, 64))
        w = relay.var(""weight"", shape=(3, 3, 64, 64))
        w = relay.layout_transform(w, ""HWIO"", ""OHWI"")
        y = relay.nn.conv2d(
            x,
            w,
            channels=64,
            kernel_size=(3, 3),
            padding=(1, 1),
            data_layout=""NHWC"",
            kernel_layout=""OHWI"",
        )
        y = relay.Function(analysis.free_vars(y), y)
        return y

    a = before()
    a = run_opt_pass(a, transform.ConvertLayout({""nn.conv2d"": [""NHWC"", ""OHWI""]}))
    b = run_opt_pass(expected(), transform.InferType())

    assert tvm.ir.structural_equal(a, b), ""Actual = \n"" + str(a)",N,,
133,scipy,scipy/scipy/signal/_bsplines.py,_quadratic,"def _quadratic(x):
    x = abs(asarray(x, dtype=float))
    b = BSpline.basis_element([-1.5, -0.5, 0.5, 1.5], extrapolate=False)
    out = b(x)
    out[(x < -1.5) | (x > 1.5)] = 0
    return out",N,,
134,plotly.py,plotly.py/packages/python/plotly/plotly/validators/sankey/link/_target.py,__init__,"def __init__(self, plotly_name=""target"", parent_name=""sankey.link"", **kwargs):
        super(TargetValidator, self).__init__(
            plotly_name=plotly_name,
            parent_name=parent_name,
            edit_type=kwargs.pop(""edit_type"", ""calc""),
            **kwargs,
        )",N,,
135,mindsdb,mindsdb/mindsdb/api/postgres/postgres_proxy/postgres_packets/postgres_packets.py,read_parameters,"def read_parameters(self, n):
        data = self.read_bytes(n)
        return data.split(b'\x00')",N,,
136,unilm,unilm/edgelm/fairseq/modules/sparse_multihead_attention.py,compute_checkpoint,"def compute_checkpoint(self, word_index):
        if word_index % self.stride == 0 and word_index != 0:
            checkpoint_index = word_index - self.expressivity
        else:
            checkpoint_index = (
                math.floor(word_index / self.stride) * self.stride
                + self.stride
                - self.expressivity
            )
        return checkpoint_index",N,,
137,edgedb,edgedb/tests/test_edgeql_rewrites.py,test_edgeql_rewrites_05,"async def test_edgeql_rewrites_05(self):
        # Rewrites should also be applied to children types.

        await self.con.execute(
            '''
            alter type Content {
              create property updated_at -> str {
                create rewrite update using ('just now');
              };
            };
            '''
        )

        await self.con.execute('insert Movie { title:= ""The Godfather"" }')
        await self.assert_query_result(
            'select Movie { title, updated_at }',
            [{""title"": ""The Godfather"", ""updated_at"": None}],
        )

        await self.con.execute(
            'update Movie set { title:= ""The Godfather II"" }'
        )
        await self.assert_query_result(
            'select Movie { title, updated_at }',
            [{""title"": ""The Godfather II"", ""updated_at"": ""just now""}],
        )",N,,
138,dash,dash/components/dash-table/tests/selenium/test_basic_operations.py,test_tbst010_active_with_dblclick,"def test_tbst010_active_with_dblclick(test, props):
    test.start_server(get_app(props))

    target = test.table(""table"")

    target.cell(0, 0).double_click()
    assert target.cell(0, 0).is_active()
    assert target.cell(0, 0).get_text() == test.get_selected_text()
    assert test.get_log_errors() == []",N,,
139,unilm,unilm/edgelm/tests/test_data_utils.py,_get_error_message,"def _get_error_message(
        cls, max_sentences, max_tokens, bsz_mult, num_tokens_vec, validation, results
    ):
        return f""""""Reference batch_by_size implementation should produce
                    same output as the baseline method.
                Params:
                max_sentences={max_sentences},
                max_tokens={max_tokens},
                bsz_mult={bsz_mult},
                num_tokens_vec={num_tokens_vec},
                expected_batches={validation},
                returned_batches={results}""""""",N,,
140,xx-net,xx-net/code/default/lib/noarch/asn1crypto/ocsp.py,extended_revoke_value,"def extended_revoke_value(self):
        """"""
        This extension is used to signal that the responder will return a
        ""revoked"" status for non-issued certificates.

        :return:
            None or a Null object (if present)
        """"""

        if self._processed_extensions is False:
            self._set_extensions()
        return self._extended_revoke_value",N,,
141,unilm,unilm/kosmos-g/fairseq/examples/MMPT/mmpt/processors/models/s3dg.py,forward,"def forward(self, input_tensor):
        """"""Feature gating as used in S3D-G.
      """"""
        spatiotemporal_average = th.mean(input_tensor, dim=[2, 3, 4])
        weights = self.fc(spatiotemporal_average)
        weights = th.sigmoid(weights)
        return weights[:, :, None, None, None] * input_tensor",N,,
142,django,django/tests/utils_tests/test_termcolors.py,test_override_nocolor,"def test_override_nocolor(self):
        self.assertEqual(
            parse_color_setting(""nocolor;error=green""),
            dict(PALETTES[NOCOLOR_PALETTE], ERROR={""fg"": ""green""}),
        )",N,,
143,ansible,ansible/lib/ansible/module_utils/common/validation.py,count_terms,"def count_terms(terms, parameters):
    """"""Count the number of occurrences of a key in a given dictionary

    :arg terms: String or iterable of values to check
    :arg parameters: Dictionary of parameters

    :returns: An integer that is the number of occurrences of the terms values
        in the provided dictionary.
    """"""

    if not is_iterable(terms):
        terms = [terms]

    return len(set(terms).intersection(parameters))",N,,
144,jupyterhub,jupyterhub/jupyterhub/proxy.py,locked_method,"async def locked_method(*args, **kwargs):
        loop = asyncio.get_event_loop()
        lock = method._locks.get(loop, None)
        if lock is None:
            lock = method._locks[loop] = asyncio.Lock()
        async with lock:
            return await method(*args, **kwargs)",N,,
145,synapse,synapse/synapse/federation/federation_client.py,_do_send_knock,"async def _do_send_knock(self, destination: str, pdu: EventBase) -> JsonDict:
        """"""Send a knock event to a remote homeserver.

        Args:
            destination: The homeserver to send to.
            pdu: The event to send.

        Returns:
            The remote homeserver can optionally return some state from the room. The response
            dictionary is in the form:

            {""knock_room_state"": [<state event dict>, ...]}

            The list of state events may be empty.
        """"""
        time_now = self._clock.time_msec()

        return await self.transport_layer.send_knock_v1(
            destination=destination,
            room_id=pdu.room_id,
            event_id=pdu.event_id,
            content=pdu.get_pdu_json(time_now),
        )",N,,
146,supervisor,supervisor/supervisor/process.py,_prepare_child_fds,"def _prepare_child_fds(self):
        """"""
        Overrides Subprocess._prepare_child_fds()
        The FastCGI socket needs to be set to file descriptor 0 in the child
        """"""
        sock_fd = self.fcgi_sock.fileno()

        options = self.config.options
        options.dup2(sock_fd, 0)
        options.dup2(self.pipes['child_stdout'], 1)
        if self.config.redirect_stderr:
            options.dup2(self.pipes['child_stdout'], 2)
        else:
            options.dup2(self.pipes['child_stderr'], 2)
        for i in range(3, options.minfds):
            options.close_fd(i)",N,,
147,lightning,lightning/tests/tests_pytorch/utilities/test_parsing.py,__init__,"def __init__(self, hparams, *my_args, anykw=42, **my_kwargs):
            pass",N,,
148,prefect,prefect/tests/utilities/test_pydantic.py,test_json_schema,"def test_json_schema(self):
        schema = TestJsonPatch.PatchModel().schema()

        assert schema[""properties""][""patch""] == {
            ""title"": ""Patch"",
            ""type"": ""array"",
            ""format"": ""rfc6902"",
            ""items"": {
                ""type"": ""object"",
                ""additionalProperties"": {""type"": ""string""},
            },
        }",N,,
149,rasa,rasa/rasa/shared/core/training_data/story_reader/story_step_builder.py,add_event_as_condition,"def add_event_as_condition(self, event: Event) -> None:
        self.add_event(event, True)",N,,
150,imgaug,imgaug/test/augmenters/test_geometric.py,_test_image_cbaoi_alignment,"def _test_image_cbaoi_alignment(cls, cba_class, cbaoi_class, augf_name):
        # test alignment between between images and polygons
        height_step_size = 50
        width_step_size = 30
        height_steps = 2  # don't set >2, otherwise polygon will be broken
        width_steps = 10
        height = (2+height_steps) * height_step_size
        width = (2+width_steps) * width_step_size
        s = 3

        image = np.zeros((height, width), dtype=np.uint8)

        points = []
        for w in sm.xrange(0, 2+width_steps):
            if w not in [0, width_steps+2-1]:
                x = width_step_size * w
                y = height_step_size
                points.append((x, y))
                image[y-s:y+s+1, x-s:x+s+1] = 255
        for w in sm.xrange(2+width_steps-1, 0, -1):
            if w not in [0, width_steps+2-1]:
                x = width_step_size * w
                y = height_step_size*2
                points.append((x, y))
                image[y-s:y+s+1, x-s:x+s+1] = 255

        cba = cba_class(points)
        cbaoi = cbaoi_class([cba], shape=image.shape)
        aug = iaa.ElasticTransformation(alpha=100, sigma=7)
        aug_det = aug.to_deterministic()

        images_aug = aug_det.augment_images([image, image])
        cbaois_aug = getattr(aug_det, augf_name)([cbaoi, cbaoi])

        count_bad = 0
        for image_aug, cbaoi_aug in zip(images_aug, cbaois_aug):
            assert cbaoi_aug.shape == image.shape
            assert len(cbaoi_aug.items) == 1
            for cba_aug in cbaoi_aug.items:
                if hasattr(cba_aug, ""is_valid""):
                    assert cba_aug.is_valid
                for point_aug in cba_aug.coords:
                    x, y = point_aug[0], point_aug[1]
                    bb = ia.BoundingBox(x1=x-2, x2=x+2, y1=y-2, y2=y+2)
                    img_ex = bb.extract_from_image(image_aug)
                    if np.any(img_ex > 10):
                        pass  # close to expected location
                    else:
                        count_bad += 1
        assert count_bad <= 3",N,,
